Category,Item,Price Per Unit,Quantity,Total Spent,Discount Applied,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Digital Wallet,Location_In-store,Location_Online
4,108,36.5,3.0,109.5,1,0,1,0,0,1
4,196,17.0,7.0,119.0,0,1,0,0,1,0
2,136,20.0,5.536379583994654,129.6525770612313,0,0,0,1,0,1
2,98,35.0,8.0,280.0,1,0,0,1,0,1
0,136,39.5,5.536379583994654,129.6525770612313,0,0,0,1,0,1
2,186,15.5,10.0,155.0,0,1,0,0,1,0
2,130,41.0,7.0,287.0,1,1,0,0,0,1
3,187,15.5,4.0,62.0,0,0,0,1,1,0
2,136,27.5,5.536379583994654,129.6525770612313,0,0,1,0,0,1
4,148,8.0,4.0,32.0,0,0,1,0,1,0
6,118,38.0,10.0,380.0,1,0,0,1,1,0
0,112,38.0,8.0,304.0,1,1,0,0,0,1
1,185,15.5,9.0,139.5,1,0,1,0,1,0
5,117,38.0,3.0,114.0,1,0,0,1,0,1
0,72,32.0,6.0,192.0,1,0,1,0,1,0
0,88,33.5,5.0,167.5,0,1,0,0,0,1
7,7,18.5,5.0,92.5,0,1,0,0,1,0
1,136,23.365911749958215,10.0,275.0,0,0,0,1,0,1
5,165,11.0,8.0,88.0,0,0,0,1,0,1
4,124,39.5,10.0,395.0,1,1,0,0,0,1
6,102,35.0,2.0,70.0,0,0,1,0,1,0
5,125,39.5,4.0,158.0,1,0,0,1,1,0
0,168,12.5,2.0,25.0,0,1,0,0,1,0
5,133,41.0,10.0,410.0,1,0,1,0,1,0
6,86,5.0,10.0,50.0,1,0,0,1,0,1
6,126,39.5,10.0,395.0,1,0,0,1,0,1
2,138,6.5,5.0,32.5,1,0,0,1,0,1
1,65,30.5,4.0,122.0,1,0,0,1,0,1
5,136,35.0,5.536379583994654,129.6525770612313,0,0,1,0,0,1
5,136,24.5,5.536379583994654,129.6525770612313,1,1,0,0,1,0
5,85,5.0,3.0,15.0,0,0,0,1,0,1
0,88,33.5,1.0,33.5,1,0,1,0,0,1
6,150,8.0,3.0,24.0,1,1,0,0,1,0
3,3,18.5,6.0,111.0,1,0,1,0,0,1
6,14,20.0,6.0,120.0,1,0,1,0,0,1
1,145,8.0,5.0,40.0,1,0,1,0,1,0
4,124,39.5,10.0,395.0,0,0,1,0,0,1
2,26,23.0,2.0,46.0,0,0,0,1,1,0
2,170,12.5,2.0,25.0,0,0,0,1,1,0
5,141,6.5,5.0,32.5,1,0,0,1,1,0
4,68,30.5,10.0,305.0,0,1,0,0,0,1
0,104,36.5,1.0,36.5,0,0,1,0,0,1
0,168,12.5,5.0,62.5,0,1,0,0,0,1
7,175,12.5,2.0,25.0,1,0,0,1,1,0
0,96,35.0,8.0,280.0,1,0,1,0,0,1
5,189,15.5,9.0,139.5,1,1,0,0,0,1
1,105,36.5,6.0,219.0,0,0,0,1,1,0
1,25,23.0,7.0,161.0,0,0,1,0,0,1
0,136,6.5,4.0,26.0,0,0,0,1,0,1
1,136,23.365911749958215,9.0,126.0,0,0,0,1,1,0
4,36,24.5,4.0,98.0,1,0,0,1,1,0
3,179,14.0,9.0,126.0,0,0,1,0,1,0
1,97,35.0,9.0,315.0,1,1,0,0,1,0
4,196,17.0,5.0,85.0,0,0,0,1,1,0
5,133,41.0,1.0,41.0,0,0,1,0,1,0
0,176,14.0,9.0,126.0,1,0,0,1,0,1
0,176,14.0,6.0,84.0,1,0,0,1,0,1
7,135,41.0,7.0,287.0,1,0,1,0,1,0
2,34,24.5,4.0,98.0,1,1,0,0,1,0
3,75,32.0,6.0,192.0,1,0,1,0,1,0
0,8,20.0,4.0,80.0,1,0,1,0,0,1
0,112,38.0,6.0,228.0,0,1,0,0,0,1
2,66,30.5,3.0,91.5,1,1,0,0,0,1
7,15,20.0,7.0,140.0,1,1,0,0,1,0
6,190,15.5,6.0,93.0,0,0,1,0,0,1
7,55,27.5,2.0,55.0,1,0,0,1,0,1
4,92,33.5,10.0,335.0,0,0,0,1,0,1
6,86,5.0,7.0,35.0,0,0,0,1,0,1
5,133,41.0,2.0,82.0,1,0,1,0,0,1
1,136,23.0,5.536379583994654,129.6525770612313,0,1,0,0,1,0
2,10,20.0,9.0,180.0,1,0,0,1,1,0
5,165,11.0,8.0,88.0,1,0,0,1,0,1
0,136,6.5,5.536379583994654,129.6525770612313,0,1,0,0,1,0
6,54,27.5,7.0,192.5,0,0,0,1,1,0
6,150,8.0,5.0,40.0,1,1,0,0,1,0
1,89,33.5,5.0,167.5,0,0,0,1,0,1
5,61,29.0,9.0,261.0,1,1,0,0,0,1
6,46,26.0,8.0,208.0,1,1,0,0,1,0
3,91,33.5,3.0,100.5,1,0,0,1,0,1
4,92,33.5,5.0,167.5,1,0,1,0,0,1
3,51,27.5,10.0,275.0,1,1,0,0,0,1
2,90,33.5,4.0,134.0,0,0,0,1,0,1
3,115,38.0,1.0,38.0,1,1,0,0,1,0
6,158,9.5,1.0,9.5,0,0,0,1,0,1
1,177,14.0,3.0,42.0,1,1,0,0,0,1
2,50,27.5,9.0,247.5,1,0,0,1,1,0
3,83,5.0,2.0,10.0,0,1,0,0,0,1
1,25,23.0,6.0,138.0,1,1,0,0,1,0
2,74,32.0,9.0,288.0,0,1,0,0,0,1
1,89,33.5,5.0,167.5,0,0,0,1,1,0
2,10,20.0,3.0,60.0,0,1,0,0,0,1
4,132,41.0,3.0,123.0,0,0,0,1,1,0
3,19,21.5,2.0,43.0,1,0,0,1,1,0
3,107,36.5,2.0,73.0,0,0,0,1,1,0
5,125,39.5,5.0,197.5,1,0,1,0,1,0
7,31,23.0,3.0,69.0,1,0,0,1,0,1
4,68,30.5,2.0,61.0,0,1,0,0,1,0
2,98,35.0,4.0,140.0,0,0,0,1,1,0
2,138,6.5,8.0,52.0,0,0,1,0,0,1
3,59,29.0,4.0,116.0,0,1,0,0,0,1
2,98,35.0,2.0,70.0,0,0,1,0,1,0
1,185,15.5,3.0,46.5,1,0,0,1,1,0
7,87,5.0,7.0,35.0,0,0,0,1,0,1
4,172,12.5,4.0,50.0,0,1,0,0,0,1
1,129,41.0,3.0,123.0,1,0,1,0,0,1
1,113,38.0,2.0,76.0,0,0,0,1,1,0
7,136,23.365911749958215,8.0,40.0,1,1,0,0,0,1
2,154,9.5,5.0,47.5,1,0,1,0,0,1
2,98,35.0,7.0,245.0,0,1,0,0,0,1
7,7,18.5,3.0,55.5,0,1,0,0,1,0
6,142,6.5,1.0,6.5,0,0,0,1,0,1
0,128,41.0,2.0,82.0,1,0,0,1,0,1
6,190,15.5,6.0,93.0,0,0,0,1,1,0
2,66,30.5,5.0,152.5,1,0,1,0,0,1
7,127,39.5,3.0,118.5,1,0,1,0,0,1
1,81,5.0,7.0,35.0,1,0,0,1,1,0
4,132,41.0,3.0,123.0,0,0,1,0,1,0
7,175,12.5,2.0,25.0,0,0,0,1,1,0
0,16,21.5,8.0,172.0,0,0,0,1,1,0
1,97,35.0,8.0,280.0,1,0,1,0,1,0
1,113,38.0,5.0,190.0,1,0,1,0,0,1
1,49,27.5,7.0,192.5,0,0,0,1,0,1
4,136,30.5,5.536379583994654,129.6525770612313,1,1,0,0,0,1
3,3,18.5,4.0,74.0,1,0,0,1,0,1
3,136,38.0,5.536379583994654,129.6525770612313,0,1,0,0,0,1
4,164,11.0,6.0,66.0,1,0,1,0,1,0
3,99,35.0,3.0,105.0,1,0,1,0,0,1
0,128,41.0,5.0,205.0,1,1,0,0,1,0
4,20,21.5,7.0,150.5,0,0,0,1,1,0
2,162,11.0,10.0,110.0,1,1,0,0,0,1
6,86,5.0,2.0,10.0,1,0,0,1,0,1
6,158,9.5,2.0,19.0,0,0,1,0,1,0
6,142,6.5,1.0,6.5,1,1,0,0,0,1
4,148,8.0,6.0,48.0,0,0,1,0,1,0
3,99,35.0,5.0,175.0,0,0,0,1,0,1
3,131,41.0,9.0,369.0,1,0,0,1,1,0
7,111,36.5,7.0,255.5,1,0,0,1,0,1
3,136,23.365911749958215,7.0,150.5,1,1,0,0,0,1
0,168,12.5,3.0,37.5,0,0,1,0,1,0
1,17,21.5,7.0,150.5,1,0,1,0,1,0
6,142,6.5,10.0,65.0,1,0,1,0,1,0
2,194,17.0,10.0,170.0,1,0,0,1,1,0
0,184,15.5,5.0,77.5,1,0,0,1,0,1
5,136,12.5,5.536379583994654,129.6525770612313,0,0,0,1,0,1
4,4,18.5,7.0,129.5,0,1,0,0,1,0
5,189,15.5,1.0,15.5,1,0,1,0,1,0
5,37,24.5,1.0,24.5,1,0,0,1,1,0
6,126,39.5,3.0,118.5,1,1,0,0,0,1
4,36,24.5,6.0,147.0,1,0,1,0,0,1
4,136,20.0,5.536379583994654,129.6525770612313,1,0,0,1,1,0
7,175,12.5,3.0,37.5,0,1,0,0,1,0
1,17,21.5,1.0,21.5,0,0,1,0,0,1
1,185,15.5,3.0,46.5,1,0,1,0,1,0
5,189,15.5,5.0,77.5,1,0,1,0,1,0
6,150,8.0,9.0,72.0,0,1,0,0,1,0
2,162,11.0,5.0,55.0,1,1,0,0,1,0
2,82,5.0,7.0,35.0,1,0,1,0,0,1
7,183,14.0,7.0,98.0,1,1,0,0,0,1
6,190,15.5,2.0,31.0,1,0,0,1,1,0
1,113,38.0,1.0,38.0,1,1,0,0,1,0
2,170,12.5,1.0,12.5,0,0,0,1,1,0
6,136,23.365911749958215,9.0,99.0,1,0,0,1,1,0
2,194,17.0,10.0,170.0,1,0,1,0,1,0
5,133,41.0,3.0,123.0,1,1,0,0,1,0
2,74,32.0,4.0,128.0,0,1,0,0,1,0
5,45,26.0,9.0,234.0,0,1,0,0,1,0
7,47,26.0,9.0,234.0,0,0,0,1,1,0
2,136,32.0,5.536379583994654,129.6525770612313,1,0,0,1,1,0
0,136,6.5,9.0,58.5,1,0,0,1,0,1
0,136,6.5,1.0,6.5,1,1,0,0,1,0
0,136,23.365911749958215,6.0,48.0,0,1,0,0,0,1
2,2,18.5,7.0,129.5,1,0,0,1,0,1
7,127,39.5,6.0,237.0,1,0,0,1,0,1
2,162,11.0,5.0,55.0,0,1,0,0,1,0
3,163,11.0,6.0,66.0,1,0,0,1,1,0
0,80,5.0,10.0,50.0,1,0,0,1,0,1
0,112,38.0,7.0,266.0,0,0,0,1,1,0
1,25,23.0,6.0,138.0,1,1,0,0,1,0
1,57,29.0,1.0,29.0,0,0,0,1,1,0
1,89,33.5,5.0,167.5,1,0,1,0,0,1
6,78,32.0,9.0,288.0,1,0,0,1,0,1
6,126,39.5,4.0,158.0,0,0,1,0,0,1
2,136,15.5,5.536379583994654,129.6525770612313,1,1,0,0,1,0
6,136,23.365911749958215,8.0,268.0,1,0,0,1,0,1
3,171,12.5,4.0,50.0,1,0,0,1,1,0
0,144,8.0,8.0,64.0,1,0,0,1,0,1
1,185,15.5,1.0,15.5,1,0,0,1,0,1
6,78,32.0,4.0,128.0,0,0,1,0,1,0
4,28,23.0,5.0,115.0,0,1,0,0,1,0
0,72,32.0,1.0,32.0,1,0,0,1,1,0
5,141,6.5,6.0,39.0,1,0,0,1,0,1
3,11,20.0,4.0,80.0,1,1,0,0,1,0
6,198,17.0,7.0,119.0,1,0,1,0,0,1
1,121,39.5,7.0,276.5,1,1,0,0,0,1
7,15,20.0,4.0,80.0,0,1,0,0,1,0
4,28,23.0,3.0,69.0,0,0,0,1,1,0
5,125,39.5,9.0,355.5,0,0,0,1,1,0
6,190,15.5,6.0,93.0,1,0,1,0,1,0
7,23,21.5,3.0,64.5,1,1,0,0,1,0
5,45,26.0,10.0,260.0,1,0,0,1,1,0
5,165,11.0,5.0,55.0,1,0,0,1,0,1
4,60,29.0,8.0,232.0,1,1,0,0,0,1
3,131,41.0,1.0,41.0,1,1,0,0,1,0
4,28,23.0,9.0,207.0,1,0,0,1,0,1
2,74,32.0,7.0,224.0,1,0,1,0,0,1
7,95,33.5,10.0,335.0,0,1,0,0,1,0
0,136,6.5,8.0,52.0,1,0,1,0,0,1
0,72,32.0,2.0,64.0,1,0,1,0,1,0
1,105,36.5,2.0,73.0,0,0,1,0,0,1
1,97,35.0,1.0,35.0,0,0,0,1,0,1
7,199,17.0,10.0,170.0,1,0,1,0,1,0
2,10,20.0,6.0,120.0,1,0,1,0,1,0
3,27,23.0,9.0,207.0,0,0,0,1,0,1
0,0,18.5,10.0,185.0,0,0,0,1,1,0
1,145,8.0,10.0,80.0,0,1,0,0,0,1
2,58,29.0,8.0,232.0,1,0,0,1,0,1
7,135,41.0,8.0,328.0,1,1,0,0,1,0
3,27,23.0,4.0,92.0,0,0,1,0,1,0
7,191,15.5,6.0,93.0,1,1,0,0,0,1
0,8,20.0,6.0,120.0,1,1,0,0,0,1
7,15,20.0,3.0,60.0,0,0,0,1,0,1
4,68,30.5,8.0,244.0,1,0,1,0,1,0
5,165,11.0,3.0,33.0,0,0,1,0,1,0
4,136,17.0,5.536379583994654,129.6525770612313,0,1,0,0,1,0
5,125,39.5,1.0,39.5,0,0,0,1,1,0
6,174,12.5,3.0,37.5,0,0,1,0,1,0
5,125,39.5,6.0,237.0,1,0,1,0,1,0
3,83,5.0,3.0,15.0,0,1,0,0,1,0
4,92,33.5,2.0,67.0,0,1,0,0,1,0
4,132,41.0,10.0,410.0,1,0,0,1,0,1
4,136,11.0,5.536379583994654,129.6525770612313,1,1,0,0,0,1
3,131,41.0,8.0,328.0,1,1,0,0,0,1
0,168,12.5,8.0,100.0,1,0,1,0,1,0
0,136,24.5,5.536379583994654,129.6525770612313,1,1,0,0,1,0
1,25,23.0,3.0,69.0,1,0,1,0,0,1
2,136,15.5,5.536379583994654,129.6525770612313,1,0,1,0,1,0
3,19,21.5,2.0,43.0,1,1,0,0,0,1
6,30,23.0,1.0,23.0,0,0,1,0,1,0
7,95,33.5,8.0,268.0,1,1,0,0,0,1
1,145,8.0,2.0,16.0,1,1,0,0,1,0
2,106,36.5,9.0,328.5,0,0,1,0,0,1
2,2,18.5,7.0,129.5,1,0,0,1,1,0
4,36,24.5,6.0,147.0,0,1,0,0,1,0
5,125,39.5,3.0,118.5,1,0,1,0,0,1
5,136,23.365911749958215,7.0,182.0,1,0,0,1,1,0
6,126,39.5,3.0,118.5,1,0,1,0,0,1
2,66,30.5,2.0,61.0,1,0,0,1,1,0
1,161,11.0,4.0,44.0,0,1,0,0,1,0
6,110,36.5,2.0,73.0,1,0,0,1,1,0
2,162,11.0,1.0,11.0,1,1,0,0,0,1
5,157,9.5,8.0,76.0,1,1,0,0,1,0
7,47,26.0,9.0,234.0,1,0,1,0,0,1
3,136,26.0,5.536379583994654,129.6525770612313,1,0,0,1,1,0
4,20,21.5,6.0,129.0,1,0,1,0,1,0
7,31,23.0,4.0,92.0,0,0,1,0,0,1
0,144,8.0,9.0,72.0,1,1,0,0,0,1
4,92,33.5,9.0,301.5,0,0,0,1,1,0
4,12,20.0,4.0,80.0,1,0,1,0,1,0
3,107,36.5,7.0,255.5,1,0,1,0,0,1
6,46,26.0,7.0,182.0,1,0,0,1,0,1
1,161,11.0,9.0,99.0,1,0,1,0,1,0
7,159,9.5,6.0,57.0,1,0,1,0,0,1
3,19,21.5,2.0,43.0,0,1,0,0,0,1
0,56,29.0,1.0,29.0,1,1,0,0,1,0
6,136,26.0,5.536379583994654,129.6525770612313,1,0,0,1,1,0
1,25,23.0,5.0,115.0,1,0,1,0,0,1
7,39,24.5,4.0,98.0,1,1,0,0,0,1
6,86,5.0,1.0,5.0,1,0,1,0,0,1
5,37,24.5,4.0,98.0,1,1,0,0,1,0
0,128,41.0,9.0,369.0,0,0,1,0,1,0
7,191,15.5,7.0,108.5,1,1,0,0,1,0
7,79,32.0,10.0,320.0,1,0,0,1,1,0
7,15,20.0,6.0,120.0,1,0,0,1,0,1
0,176,14.0,5.0,70.0,1,1,0,0,1,0
1,113,38.0,1.0,38.0,0,1,0,0,1,0
2,136,23.365911749958215,3.0,96.0,0,0,1,0,0,1
7,143,6.5,8.0,52.0,1,0,0,1,1,0
1,33,24.5,5.0,122.5,0,0,0,1,0,1
5,61,29.0,9.0,261.0,0,0,0,1,0,1
3,136,23.365911749958215,8.0,220.0,1,0,1,0,0,1
6,86,5.0,7.0,35.0,1,0,1,0,1,0
3,59,29.0,9.0,261.0,1,0,0,1,1,0
3,187,15.5,1.0,15.5,1,0,1,0,1,0
5,93,33.5,2.0,67.0,0,1,0,0,0,1
7,31,23.0,1.0,23.0,1,0,1,0,1,0
0,144,8.0,3.0,24.0,1,0,1,0,0,1
1,169,12.5,9.0,112.5,0,1,0,0,0,1
0,48,27.5,10.0,275.0,1,0,1,0,0,1
1,113,38.0,5.0,190.0,0,0,1,0,0,1
7,199,17.0,4.0,68.0,1,0,1,0,1,0
6,150,8.0,8.0,64.0,1,0,0,1,0,1
7,111,36.5,5.0,182.5,1,0,0,1,1,0
3,11,20.0,3.0,60.0,1,0,1,0,1,0
4,12,20.0,3.0,60.0,0,1,0,0,0,1
7,63,29.0,8.0,232.0,1,1,0,0,0,1
2,122,39.5,8.0,316.0,1,1,0,0,0,1
2,106,36.5,2.0,73.0,0,1,0,0,1,0
5,197,17.0,4.0,68.0,0,1,0,0,1,0
3,99,35.0,8.0,280.0,0,0,1,0,0,1
3,136,41.0,5.536379583994654,129.6525770612313,1,0,0,1,0,1
2,74,32.0,10.0,320.0,1,1,0,0,0,1
5,93,33.5,1.0,33.5,0,0,0,1,1,0
3,115,38.0,6.0,228.0,1,0,1,0,0,1
1,17,21.5,3.0,64.5,1,0,0,1,0,1
1,17,21.5,8.0,172.0,1,0,1,0,1,0
2,34,24.5,6.0,147.0,0,0,0,1,1,0
6,142,6.5,1.0,6.5,0,0,1,0,0,1
2,18,21.5,9.0,193.5,0,1,0,0,0,1
3,91,33.5,4.0,134.0,1,0,1,0,0,1
5,136,23.365911749958215,1.0,27.5,0,0,1,0,0,1
3,163,11.0,3.0,33.0,0,1,0,0,1,0
1,105,36.5,8.0,292.0,1,0,0,1,0,1
3,75,32.0,6.0,192.0,1,0,1,0,1,0
1,17,21.5,10.0,215.0,1,1,0,0,0,1
2,106,36.5,9.0,328.5,0,1,0,0,0,1
0,104,36.5,4.0,146.0,0,0,0,1,1,0
4,4,18.5,6.0,111.0,1,1,0,0,0,1
6,54,27.5,8.0,220.0,1,0,0,1,0,1
1,177,14.0,2.0,28.0,0,1,0,0,1,0
5,141,6.5,6.0,39.0,1,0,0,1,0,1
3,19,21.5,7.0,150.5,1,1,0,0,1,0
6,118,38.0,9.0,342.0,1,1,0,0,0,1
2,162,11.0,3.0,33.0,0,0,0,1,0,1
7,39,24.5,6.0,147.0,1,1,0,0,1,0
2,18,21.5,3.0,64.5,1,1,0,0,0,1
3,136,12.5,5.536379583994654,129.6525770612313,0,0,1,0,1,0
1,129,41.0,5.0,205.0,1,1,0,0,0,1
5,141,6.5,5.0,32.5,0,1,0,0,1,0
3,43,26.0,7.0,182.0,1,0,0,1,1,0
3,187,15.5,6.0,93.0,1,0,1,0,0,1
2,42,26.0,1.0,26.0,1,0,0,1,0,1
7,199,17.0,6.0,102.0,1,1,0,0,1,0
1,97,35.0,1.0,35.0,1,0,0,1,1,0
4,136,23.365911749958215,2.0,46.0,1,0,0,1,0,1
4,196,17.0,4.0,68.0,1,1,0,0,1,0
5,37,24.5,4.0,98.0,1,0,1,0,1,0
2,50,27.5,9.0,247.5,0,1,0,0,0,1
7,159,9.5,2.0,19.0,1,0,0,1,1,0
7,159,9.5,2.0,19.0,1,0,0,1,0,1
1,89,33.5,2.0,67.0,0,0,1,0,1,0
7,167,11.0,10.0,110.0,1,1,0,0,1,0
4,136,26.0,5.536379583994654,129.6525770612313,1,1,0,0,0,1
7,63,29.0,10.0,290.0,1,0,0,1,0,1
4,12,20.0,6.0,120.0,0,0,0,1,0,1
0,184,15.5,5.0,77.5,1,1,0,0,0,1
6,70,30.5,2.0,61.0,1,1,0,0,0,1
1,161,11.0,7.0,77.0,1,1,0,0,1,0
5,133,41.0,3.0,123.0,1,0,1,0,0,1
2,10,20.0,7.0,140.0,0,1,0,0,1,0
7,87,5.0,7.0,35.0,1,0,0,1,0,1
4,136,23.365911749958215,9.0,193.5,1,0,1,0,1,0
4,136,23.365911749958215,8.0,148.0,1,0,1,0,1,0
0,32,24.5,8.0,196.0,1,0,0,1,1,0
4,136,11.0,5.536379583994654,129.6525770612313,1,0,0,1,0,1
0,152,9.5,4.0,38.0,1,0,0,1,1,0
7,175,12.5,8.0,100.0,0,0,0,1,1,0
5,173,12.5,10.0,125.0,1,0,1,0,1,0
0,120,39.5,6.0,237.0,0,0,1,0,0,1
2,170,12.5,1.0,12.5,0,0,0,1,0,1
2,98,35.0,6.0,210.0,1,1,0,0,0,1
6,70,30.5,3.0,91.5,1,1,0,0,0,1
3,51,27.5,5.0,137.5,1,0,0,1,1,0
6,136,23.365911749958215,10.0,95.0,1,0,0,1,0,1
6,38,24.5,10.0,245.0,1,0,1,0,0,1
4,164,11.0,10.0,110.0,1,0,1,0,1,0
5,13,20.0,3.0,60.0,0,0,0,1,0,1
7,95,33.5,4.0,134.0,0,1,0,0,0,1
3,107,36.5,6.0,219.0,0,1,0,0,1,0
0,88,33.5,1.0,33.5,1,0,1,0,1,0
4,172,12.5,2.0,25.0,0,0,0,1,1,0
3,99,35.0,9.0,315.0,0,1,0,0,0,1
5,165,11.0,4.0,44.0,1,0,1,0,1,0
7,199,17.0,8.0,136.0,0,0,0,1,1,0
